+------------------------------------------+---------------------------------------------------------------------------------+-----------------------------+-------------------+----------------+-------------------------------------------------------------------------------------+
| Meter Name                               | Product Name                                                                    | SKU Name                    | Unit of Measure   |   Retail Price | ARM SKU Name                                                                        |
| Standard Data Stored                     | Azure Database for MySQL Standard Storage                                       | Standard                    | 1 GB/Month        |       0.089088 |                                                                                     |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Edsv6 Series Compute  | vCore                       | 1 Hour            |       0.194    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv6_Series_vCore                   |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Edsv6 Series Compute  | vCore                       | 1 Hour            |    1018        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv6_Series_vCore                   |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Edsv6 Series Compute  | vCore                       | 1 Hour            |    2036        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv6_Series_vCore                   |
| General Purpose Data Stored              | Azure Database for MySQL General Purpose - Large-Scale Storage                  | General Purpose             | 1 GB/Month        |       0.069    |                                                                                     |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dadsv5 Series Compute  | vCore                       | 1 Hour            |       0.0975   | AzureDB_MySQL_Flexible_Server_General_Purpose_Compute_Dadsv5_Series                 |
| Basic Data Stored                        | Azure Database for MySQL Single Server Basic - Storage                          | Basic                       | 1 GB/Month        |       0.11     |                                                                                     |
| SSD v2 IOPS Provisioned IOPS             | Azure Database for MySQL Flexible Server Storage                                | SSD v2 IOPS                 | 1/Month           |       0.026    | SSD v2 IOPS                                                                         |
| Storage Data Stored                      | Azure Database for MySQL Flexible Server Storage                                | Storage                     | 1 GB/Month        |       0.138    | Storage                                                                             |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Easv6 Series Compute  | vCore                       | 1 Hour            |       0.163    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Easv6_Series                         |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Easv6 Series Compute  | vCore                       | 1 Hour            |     854        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Easv6_Series                         |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Easv6 Series Compute  | vCore                       | 1 Hour            |    1708        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Easv6_Series                         |
| B20MS                                    | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | Standard_B20ms              | 1 Hour            |       1.76     | B20MS                                                                               |
| 2 vCore                                  | Azure Database for MySQL Single Server Basic - Compute Gen4                     | 2 vCore                     | 1 Hour            |       0.0884   |                                                                                     |
| 64 vCore                                 | Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute  | Standard_E64d_v5            | 1 Hour            |       8.39     | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Edsv5Series_Compute_64vCore          |
| B2MS                                     | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | Standard_B2ms2              | 1 Hour            |       0.176    | B2MS                                                                                |
| vCore                                    | Azure Database for MySQL Single Server Memory Optimized - Compute Gen5          | vCore                       | 1 Hour            |       0.1311   | AzureDB_MySQL_Memory_Optimized_Compute_Gen5                                         |
| vCore                                    | Azure Database for MySQL Single Server Memory Optimized - Compute Gen5          | vCore                       | 1 Hour            |     728        | AzureDB_MySQL_Memory_Optimized_Compute_Gen5                                         |
| B8MS                                     | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | Standard_B8ms               | 1 Hour            |       0.704    | B8MS                                                                                |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Esv6 Series Compute   | vCore                       | 1 Hour            |       0.163    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Esv6_Series_vCore                    |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Esv6 Series Compute   | vCore                       | 1 Hour            |     854        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Esv6_Series_vCore                    |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Esv6 Series Compute   | vCore                       | 1 Hour            |    1708        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Esv6_Series_vCore                    |
